Index,SeriesName,SeriesCode,CountryName,CountryCode,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
118,GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,6.568102582,9.429633377,9.10191698,8.829356719,6.956253801,7.670116404,8.510868408,9.762389302,9.396981967
119,GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,0.699429338,0.698466479,0.715923743,0.743413381,0.792552891,0.777147596,0.911444267,1.038651647,1.071050761
120,GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,54.15934661,50.07300566,52.18406185,52.83017423,45.17523189,46.00785292,48.67522234,53.04453244,52.33131673
121,GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,38.43754316,39.9827543,42.96298821,44.55328221,38.61599518,40.10561339,42.84942632,42.94993058,42.08435337
122,GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,1.655801824,1.760468584,1.811632521,1.934063237,2.04984969,2.107572722,2.159157868,2.02055193,1.912903745
123,GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,0.512595605,0.529744994,0.552570095,0.564597482,0.484238633,0.498104164,0.51797503,0.572427154,0.55389505
124,GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,2.487598154,2.723822777,2.961550284,3.0989863,2.687480145,2.176002245,1.968564738,2.027777979,2.229858696
125,GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,5.063786986,4.698141294,5.21067583,5.468480869,4.840273123,5.12915896,5.43087421,6.088972445,6.022216179
126,GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,100.6005624,101.5241419,102.9134508,97.01918275,74.35551586,70.4591825,75.49675406,81.73446557,75.41963487
127,GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,20.87678803,21.87262025,20.86579182,20.03517398,16.02861152,14.61873313,15.13052074,16.52118228,15.343062
128,GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,1.164976129,1.198109001,1.20890431,1.251164104,1.356667756,1.368454326,1.464993305,1.482305667,1.284702041
129,GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,11.09670893,12.04069161,12.55919573,13.71098377,15.87646193,16.64684908,16.06619497,15.6606746,14.90198353
130,GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,9.358251475,10.72228363,11.88912763,12.79607004,13.63030797,14.34396363,15.15034561,15.59257368,15.73101603
131,GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,2.406909678,2.79067667,2.729891904,2.920783721,2.679345589,2.509631457,2.695251883,2.801373997,2.829170309
132,GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,5.32296376,5.183082877,5.926832863,6.102943233,5.406703857,5.319410218,5.680580768,5.805675616,5.414799138
133,GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,5.86932308,6.528972218,6.756752769,6.672880255,6.229101696,6.20499726,6.710508029,6.941235848,6.977695784
134,GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,2.450733656,2.694305473,2.871430902,2.959648452,3.001040371,3.073653615,3.123234229,3.252092324,3.485084218
135,GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,13.87956099,13.09727085,13.6964663,14.27130585,12.57849547,12.44743959,13.86468176,15.46848222,15.69250703
136,GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,23.18691313,20.56488986,21.64704181,22.07430076,19.24236647,19.97840121,21.49042986,23.56255452,23.25205852
137,GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,27.27888305,27.94473389,28.51316574,28.98145733,29.7634883,30.6271634,31.10875275,31.62189347,32.87371927
138,GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,82.40957733,85.0761415,85.05086635,83.85847685,63.03906349,57.16307568,59.12493237,65.9080669,62.08806183
139,GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,9.099217539,8.507104775,9.547852151,10.04367745,8.969148921,9.548587403,10.80779539,12.39988934,12.91952964
140,GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,14.31108432,15.42087454,15.97464463,14.09564874,9.313013625,8.704898413,10.72033259,11.37081346,11.58499538
141,GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,0.668868963,0.725627681,0.723258313,0.743994758,0.75163937,0.745342752,0.772318472,0.783287184,0.820025242
142,GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,3.933459357,4.02219912,4.037509315,3.937758712,4.07366601,4.109165135,4.259765001,4.188528346,4.324014018
143,GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,1.254517923,1.330547404,1.564675304,1.77046575,1.58482776,1.700046541,1.813783235,1.95358829,1.946643614
144,GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,23.74580161,25.2433587,24.84474437,24.46390316,20.62793278,19.87929753,20.80374592,23.33896346,23.13979866
145,GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,1.373520789,1.329981379,1.376069816,1.396658225,1.219248662,1.269902108,1.361699588,1.465591006,1.446830965
146,GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,6.809159804,6.015945228,6.755073675,6.600056809,5.588980728,5.765200762,6.292543629,7.252401858,7.411836116
147,GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,12.18909516,12.00668296,14.76567398,14.70033434,14.74534146,15.06862035,15.90608391,16.39082491,17.44827029
148,GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,0.448337526,0.566378657,0.716835305,0.714700712,0.588228453,0.501415713,0.499380708,0.533991184,0.527533634
149,GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,53.89042873,55.54648854,56.96742579,57.56253079,55.64661875,56.82829535,60.91374533,66.1887794,65.23328244
